name,loc,tweet,time,rt,rt_name
" Dr. Emily A. Read, RN, PhD", Canada, Rad archeological find in Halifax. ,2019-02-25 22:25:32,,
,,,,,
 Glyn Dyas U0001f499U0001f49b,  Yorkshire," RT @PeterRMiles: Betfred Rugby League ChampionshipFeatherstone Rovers 46 Halifax 14Att:2,534 ",2019-02-25 22:25:30,,
,,,,,
 Ed Hollett," St. John's, NL Canada", @hobbsno3 Absolutely.  Had a few Halifax friends remark on the difference between the two provinces.  The number of ,2019-02-25 22:25:23,,
,,,,,
 Mark English," St. John's, Newfoundland "," RT @MUNathletics: WBALL | It's playoff week for the women's basketball team! The (#5) Sea-Hawks head to Halifax, where they will matchup wi",2019-02-25 22:25:00,,
,,,,,
 Anne Burbidge," Toronto, CAN", RT @HeatherMallick: Here's the link for the GoFundMe for the Syrian refugee parents who lost all 7 of their children in a hideous Halifax h,2019-02-25 22:25:00,,
,,,,,
 Brenda Murphy Jollymore," Halifax, Nova Scotia U0001f1e8U0001f1e6", @MikeSavageHFX Welcome to Halifax!,2019-02-25 22:24:53,,
,,,,,
 LiamU0001f41d, Somerset la la la , WHats the beef between lewis and halifax  idk. ask him ,2019-02-25 22:24:19,,
,,,,,
 Brian Quinn," Somerville, MA", @gregorykhillis I picked it up a used bookstore in Halifax a couple years ago. It been on my  read list but I ,2019-02-25 22:24:11,,
,,,,,
 Kevin Brushett, Kingston," A ""good kid"" who made a ""mistake"".  Seems like they all are. #ThisIsTheFaceofMisogyny   via @HalifaxToday",2019-02-25 22:23:37,,
,,,,,
